date,time,toplam,dogalgaz,ruzgar,linyit,tasKomur,ithalKomur,fuelOil,jeotermal,barajli,nafta,biokutle,akarsu,gunes,diger
2025-02-12 11:00:00+00:00,14:00,41944.85,12585.26,4611.09,4211.8,172.0,8746.0,11.5,1135.42,7447.08,0.0,957.39,932.51,891.7,243.1
2025-02-12 12:00:00+00:00,15:00,42671.68,12228.56,4898.03,4262.6,126.0,8741.0,10.2,1130.26,8402.98,0.0,964.42,943.11,721.42,243.1
2025-02-12 13:00:00+00:00,16:00,44979.4,13427.73,5024.07,4256.2,126.0,8739.0,8.8,1130.72,9591.78,0.0,959.28,1059.57,413.15,243.1
2025-02-12 14:00:00+00:00,17:00,46339.93,13522.42,5017.0,4349.0,126.0,8735.0,8.6,1128.99,10736.38,0.0,951.88,1386.87,134.69,243.1
2025-02-12 15:00:00+00:00,18:00,46382.22,13505.08,4996.57,4350.8,123.0,8734.0,7.6,1132.3,10818.18,0.0,965.2,1503.26,3.13,243.1
2025-02-12 16:00:00+00:00,19:00,45813.49,13439.82,5001.64,4327.3,123.0,8734.0,7.6,1139.21,10338.78,0.0,961.58,1497.46,0.0,243.1
2025-02-12 17:00:00+00:00,20:00,44352.08,12468.01,5177.18,4327.6,123.0,8734.0,7.6,1147.98,9935.08,0.0,955.36,1233.17,0.0,243.1
2025-02-12 18:00:00+00:00,21:00,42718.66,11424.91,5145.6,4353.6,126.0,8734.0,7.6,1152.52,9433.88,0.0,957.78,1139.67,0.0,243.1
2025-02-12 19:00:00+00:00,22:00,41352.15,10769.61,4743.09,4352.6,123.0,8734.0,7.6,1158.34,9285.28,0.0,949.98,986.35,0.0,242.3
2025-02-12 20:00:00+00:00,23:00,39256.62,9492.81,4480.93,4325.6,123.0,8734.0,7.6,1161.7,8770.28,0.0,980.42,937.98,0.0,242.3
2025-02-12 21:00:00+00:00,00:00,36721.97,8611.69,3988.35,4178.5,133.0,8733.5,7.0,1167.65,7925.33,0.0,935.87,809.48,0.0,231.6
2025-02-12 22:00:00+00:00,01:00,34480.83,7766.28,3752.99,4189.5,133.0,8733.5,7.0,1171.27,6683.33,0.0,962.95,849.41,0.0,231.6
2025-02-12 23:00:00+00:00,02:00,33097.31,7505.28,3591.03,4157.5,133.0,8733.5,7.0,1174.55,5781.33,0.0,962.89,837.63,0.0,213.6
2025-02-13 00:00:00+00:00,03:00,32180.59,7278.78,3470.58,4155.5,133.0,8737.5,7.0,1177.13,5392.33,0.0,936.28,681.39,0.0,211.1
2025-02-13 01:00:00+00:00,04:00,31870.3,7105.38,3331.81,4159.0,133.0,8737.5,7.0,1179.05,5417.33,0.0,968.2,624.73,0.0,207.3
2025-02-13 02:00:00+00:00,05:00,32533.83,7901.33,3203.96,4149.0,133.0,8737.5,7.0,1179.61,5417.33,0.0,962.53,635.27,0.0,207.3
2025-02-13 03:00:00+00:00,06:00,33820.05,9162.15,3014.86,4203.5,133.0,8737.5,7.0,1181.41,5462.93,0.0,936.03,756.23,0.14,225.3
2025-02-13 04:00:00+00:00,07:00,36742.19,11115.48,2905.44,4179.5,133.0,8733.5,7.0,1182.65,6348.93,0.1,966.4,930.36,8.23,231.6
2025-02-13 05:00:00+00:00,08:00,42418.75,14494.66,2745.78,4179.8,133.0,8734.5,9.3,1181.34,8389.33,0.1,954.57,1230.24,134.53,231.6
2025-02-13 06:00:00+00:00,09:00,43954.6,14696.58,2674.22,4171.3,133.0,8738.5,10.2,1162.46,9305.63,0.0,979.91,1486.97,364.23,231.6
2025-02-13 07:00:00+00:00,10:00,43465.14,14673.23,2550.86,4134.09,133.0,8743.5,10.8,1158.89,9171.43,0.0,993.18,1167.11,497.25,231.8
2025-02-13 08:00:00+00:00,11:00,42802.81,14470.94,2449.93,4145.19,133.0,8734.0,11.2,1153.26,8789.53,0.0,1002.09,1098.59,583.28,231.8
2025-02-13 09:00:00+00:00,12:00,40933.85,13237.09,2409.43,4088.19,133.0,8763.5,12.2,1148.96,8106.73,0.0,1023.97,970.82,808.16,231.8
2025-02-13 10:00:00+00:00,13:00,41024.89,13499.13,2352.71,4020.4,133.0,8764.5,12.3,1137.89,8052.73,0.0,1023.83,998.65,797.95,231.8
2025-02-13 11:00:00+00:00,14:00,42100.26,13823.04,2369.04,4025.1,133.0,8761.5,10.9,1132.01,8827.63,0.0,1022.6,1007.49,756.15,231.8
2025-02-13 12:00:00+00:00,15:00,42515.24,13281.75,2336.61,4018.8,133.0,8741.5,9.6,1095.06,9780.63,0.0,1019.52,1125.19,741.78,231.8
2025-02-13 13:00:00+00:00,16:00,44130.02,14266.34,2279.38,4000.5,133.0,8739.5,8.2,1121.63,10457.83,0.0,1009.24,1334.82,547.78,231.8
2025-02-13 14:00:00+00:00,17:00,45446.83,14939.57,2148.17,3933.7,133.0,8734.5,8.0,1120.47,11265.63,0.0,945.76,1741.4,244.83,231.8
2025-02-13 15:00:00+00:00,18:00,45803.29,15170.83,2101.66,3920.5,133.0,8733.5,7.0,1139.51,11527.53,0.0,945.51,1887.71,4.74,231.8
2025-02-13 16:00:00+00:00,19:00,45394.79,15012.65,2102.25,3868.5,133.0,8733.5,7.0,1145.55,11416.43,0.0,942.58,1801.53,0.0,231.8
2025-02-13 17:00:00+00:00,20:00,44353.89,14829.61,2056.46,3862.5,133.0,8733.5,7.0,1151.99,10953.83,0.0,934.84,1459.36,0.0,231.8
2025-02-13 18:00:00+00:00,21:00,42931.16,14299.09,2154.44,3848.5,133.0,8737.5,7.0,1158.68,10057.83,0.0,941.19,1362.13,0.0,231.8
2025-02-13 19:00:00+00:00,22:00,41285.69,13181.46,2172.69,3846.5,133.0,8737.5,7.0,1164.07,9699.93,0.0,931.89,1179.85,0.0,231.8
2025-02-13 20:00:00+00:00,23:00,39232.49,11858.42,2281.67,3852.9,133.0,8737.5,7.0,1165.62,8877.93,0.0,931.14,1155.51,0.0,231.8
2025-02-13 21:00:00+00:00,00:00,36825.3,9486.97,2367.2,3956.6,133.0,9182.5,7.4,1156.3,8265.53,0.0,924.95,1110.55,0.0,234.3
2025-02-13 22:00:00+00:00,01:00,34334.26,8200.53,2545.18,3933.6,133.0,9182.5,7.4,1158.08,6992.53,0.0,924.0,1023.14,0.0,234.3
2025-02-13 23:00:00+00:00,02:00,32931.18,6878.07,2633.76,3945.6,133.0,9182.5,7.4,1164.1,6905.53,0.0,938.34,925.58,0.0,217.3
2025-02-14 00:00:00+00:00,03:00,32076.26,6382.02,2776.31,3914.1,133.0,9203.5,7.4,1166.15,6536.33,0.0,938.48,803.97,0.0,215.0
