date,time,toplam,dogalgaz,ruzgar,linyit,tasKomur,ithalKomur,fuelOil,jeotermal,barajli,nafta,biokutle,akarsu,gunes,diger
2025-12-31 21:00:00+00:00,00:00,31782.87,8088.15,3493.47,3958.25,246.0,9263.5,7.8,1182.38,3426.05,0.0,954.74,958.9,16.06,187.57
2025-12-31 22:00:00+00:00,01:00,29537.44,7054.05,3490.42,3947.25,246.0,9263.5,7.8,1185.18,2321.15,0.0,954.3,864.92,15.19,187.68
2025-12-31 23:00:00+00:00,02:00,28377.35,6774.56,3698.25,4073.25,246.0,9264.5,7.8,1188.18,1180.85,0.0,953.56,787.09,15.0,188.31
2026-01-01 00:00:00+00:00,03:00,27165.42,6157.47,3965.8,4092.25,246.0,9215.5,7.8,1188.38,489.85,0.0,963.08,635.14,16.33,187.82
2026-01-01 01:00:00+00:00,04:00,26912.26,5637.15,4362.22,4114.25,246.0,9215.5,7.8,1192.38,352.05,0.0,962.49,619.19,15.14,188.09
2026-01-01 02:00:00+00:00,05:00,26982.02,5340.35,4782.37,3936.25,246.0,9215.5,0.8,1194.49,517.05,0.0,966.73,573.0,21.13,188.35
2026-01-01 03:00:00+00:00,06:00,27543.06,5177.15,5342.44,4029.55,246.0,9215.5,0.8,1194.79,524.05,0.1,962.66,604.72,56.7,188.6
2026-01-01 04:00:00+00:00,07:00,28457.45,5602.55,5727.39,4019.25,246.0,9138.5,0.8,1196.49,592.65,0.0,960.72,656.6,126.59,189.91
2026-01-01 05:00:00+00:00,08:00,29395.42,5702.7,5860.0,3999.65,246.0,9139.5,7.8,1195.89,668.89,0.0,976.78,793.15,603.13,201.93
2026-01-01 06:00:00+00:00,09:00,31173.06,5783.34,5836.77,4022.15,246.0,9174.5,8.5,1194.29,759.29,0.0,978.76,867.49,2085.03,216.94
2026-01-01 07:00:00+00:00,10:00,33222.94,5984.92,5808.89,4047.45,234.0,9177.41,9.7,1192.08,861.29,0.0,990.94,738.21,3940.76,237.29
2026-01-01 08:00:00+00:00,11:00,34337.68,5953.89,5691.55,4048.54,232.0,9277.74,10.9,1188.67,696.99,0.0,972.74,594.02,5413.34,257.3
2026-01-01 09:00:00+00:00,12:00,34989.22,5983.19,5466.92,4055.45,231.0,9280.63,0.9,1182.57,575.79,0.0,988.24,569.72,6387.39,267.42
2026-01-01 10:00:00+00:00,13:00,35236.47,6131.17,5378.78,4058.25,246.0,9280.5,12.5,1177.36,688.45,0.0,1004.7,550.9,6446.58,261.28
2026-01-01 11:00:00+00:00,14:00,35233.38,6832.83,5043.74,4060.54,246.0,9280.29,12.6,1174.18,905.65,0.0,1016.9,610.76,5798.4,251.49
2026-01-01 12:00:00+00:00,15:00,35882.29,8094.7,4703.03,4054.35,246.0,9272.38,11.8,1170.08,1832.95,0.0,1016.58,649.37,4592.55,238.5
2026-01-01 13:00:00+00:00,16:00,37299.93,10212.74,4470.86,4042.45,246.0,9269.12,9.9,1167.27,3405.65,0.0,996.32,883.36,2387.26,209.0
2026-01-01 14:00:00+00:00,17:00,39324.73,11267.41,4376.68,4038.35,246.0,9265.85,8.2,1162.78,6031.35,0.0,990.04,1164.48,579.2,194.39
2026-01-01 15:00:00+00:00,18:00,40057.67,11661.11,4340.03,4136.35,246.0,9265.24,7.8,1168.78,6735.65,0.0,996.09,1245.58,65.51,189.53
2026-01-01 16:00:00+00:00,19:00,39719.62,11805.27,4443.27,4067.35,246.0,9265.33,7.8,1173.78,6195.05,0.0,982.22,1325.71,18.92,188.92
2026-01-01 17:00:00+00:00,20:00,38847.91,12023.98,4438.96,4047.35,246.0,9265.16,7.8,1177.88,5191.55,0.0,988.84,1258.19,14.1,188.1
2026-01-01 18:00:00+00:00,21:00,37820.8,12034.64,4556.48,4067.35,246.0,9306.37,7.8,1184.18,4069.65,0.0,991.34,1157.2,11.49,188.3
2026-01-01 19:00:00+00:00,22:00,36564.68,11613.48,4535.94,4077.35,246.0,9306.12,7.8,1191.48,3409.65,0.0,995.24,981.33,11.49,188.8
2026-01-01 20:00:00+00:00,23:00,35801.76,11269.88,4373.69,4159.35,246.0,9305.82,7.8,1193.68,3226.25,0.0,993.6,824.65,12.16,188.88
2026-01-01 21:00:00+00:00,00:00,34247.09,11188.63,4091.99,4184.25,124.0,9200.5,7.8,1182.31,2284.04,0.0,983.0,794.02,13.95,192.6
2026-01-01 22:00:00+00:00,01:00,32122.8,10516.23,4022.8,4231.25,124.0,9098.5,7.8,1186.6,983.54,0.0,984.55,758.14,16.54,192.85
