date,price
2024-12-31 00:00:00+00:00,1995.6566666666668
2025-01-31 00:00:00+00:00,2512.7509139784947
2025-02-28 00:00:00+00:00,2476.830744047619
2025-03-31 00:00:00+00:00,2181.1168010752685
2025-04-30 00:00:00+00:00,2450.630611111111
2025-05-31 00:00:00+00:00,2463.283642473118
2025-06-30 00:00:00+00:00,2204.0269305555553
2025-07-31 00:00:00+00:00,2965.6279569892477
2025-08-31 00:00:00+00:00,2939.2859408602153
2025-09-30 00:00:00+00:00,2728.067375
2025-10-31 00:00:00+00:00,2740.036317204301
2025-11-30 00:00:00+00:00,2781.454347222222
2025-12-31 00:00:00+00:00,2974.577260458839
