date,gas_price
2024-12-31 21:00:00+00:00,12636.62
2025-01-01 21:00:00+00:00,12606.86
2025-01-02 21:00:00+00:00,12555.69
2025-01-03 21:00:00+00:00,12485.99
2025-01-04 21:00:00+00:00,12443.97
2025-01-05 21:00:00+00:00,12412.02
2025-01-06 21:00:00+00:00,12312.34
2025-01-07 21:00:00+00:00,12307.69
2025-01-08 21:00:00+00:00,12260.53
2025-01-09 21:00:00+00:00,12585.4
2025-01-10 21:00:00+00:00,12930.91
2025-01-11 21:00:00+00:00,12882.71
2025-01-12 21:00:00+00:00,12751.92
2025-01-13 21:00:00+00:00,12850.0
2025-01-14 21:00:00+00:00,12613.45
2025-01-15 21:00:00+00:00,12707.64
2025-01-16 21:00:00+00:00,12614.7
2025-01-17 21:00:00+00:00,12663.8
2025-01-18 21:00:00+00:00,12656.52
2025-01-19 21:00:00+00:00,12625.95
2025-01-20 21:00:00+00:00,12665.43
2025-01-21 21:00:00+00:00,12698.21
2025-01-22 21:00:00+00:00,12592.69
2025-01-23 21:00:00+00:00,12561.9
2025-01-24 21:00:00+00:00,12471.51
2025-01-25 21:00:00+00:00,12396.42
2025-01-26 21:00:00+00:00,12340.13
2025-01-27 21:00:00+00:00,12217.25
2025-01-28 21:00:00+00:00,12266.56
2025-01-29 21:00:00+00:00,12327.75
2025-01-30 21:00:00+00:00,12297.16
2025-01-31 21:00:00+00:00,12450.0
2025-02-01 21:00:00+00:00,12458.28
2025-02-02 21:00:00+00:00,12474.85
2025-02-03 21:00:00+00:00,12640.52
2025-02-04 21:00:00+00:00,12750.02
2025-02-05 21:00:00+00:00,12850.02
2025-02-06 21:00:00+00:00,12850.54
2025-02-07 21:00:00+00:00,12900.57
2025-02-08 21:00:00+00:00,12911.5
2025-02-09 21:00:00+00:00,12886.02
2025-02-10 21:00:00+00:00,12924.2
2025-02-11 21:00:00+00:00,12961.77
2025-02-12 21:00:00+00:00,12964.15
2025-02-13 21:00:00+00:00,1245.53
2025-02-14 21:00:00+00:00,12951.76
2025-02-15 21:00:00+00:00,13000.0
2025-02-16 21:00:00+00:00,12901.9
2025-02-17 21:00:00+00:00,12952.17
2025-02-18 21:00:00+00:00,13000.0
2025-02-19 21:00:00+00:00,13200.57
2025-02-20 21:00:00+00:00,13180.0
2025-02-21 21:00:00+00:00,13216.61
2025-02-22 21:00:00+00:00,13250.0
2025-02-23 21:00:00+00:00,15459.6
2025-02-24 21:00:00+00:00,13200.52
2025-02-25 21:00:00+00:00,13251.36
2025-02-26 21:00:00+00:00,13300.27
2025-02-27 21:00:00+00:00,13310.3
