date,temperature,wind_speed,solar_radiation
2025-12-31 21:00:00+00:00,-0.8999999999999999,6.5,0.0
2025-12-31 22:00:00+00:00,-1.0666666666666667,5.733333333333333,0.0
2025-12-31 23:00:00+00:00,-1.2,6.3999999999999995,0.0
2026-01-01 00:00:00+00:00,-1.4666666666666668,6.566666666666666,0.0
2026-01-01 01:00:00+00:00,-1.5333333333333332,6.866666666666667,0.0
2026-01-01 02:00:00+00:00,-1.4999999999999998,8.566666666666668,0.0
2026-01-01 03:00:00+00:00,-1.4666666666666666,10.133333333333333,0.0
2026-01-01 04:00:00+00:00,-1.7333333333333332,11.4,0.0
2026-01-01 05:00:00+00:00,-2.3333333333333335,8.833333333333334,0.0
2026-01-01 06:00:00+00:00,-2.766666666666667,10.166666666666666,3.6666666666666665
2026-01-01 07:00:00+00:00,-2.5666666666666664,12.933333333333332,43.0
2026-01-01 08:00:00+00:00,-2.1,15.300000000000002,122.66666666666667
2026-01-01 09:00:00+00:00,-1.5666666666666667,15.666666666666666,254.0
2026-01-01 10:00:00+00:00,-1.0333333333333332,15.933333333333335,354.6666666666667
2026-01-01 11:00:00+00:00,-0.8333333333333334,16.7,312.3333333333333
2026-01-01 12:00:00+00:00,-0.8333333333333334,14.9,228.33333333333334
2026-01-01 13:00:00+00:00,-0.8666666666666667,14.466666666666669,163.33333333333334
2026-01-01 14:00:00+00:00,-1.6333333333333335,12.266666666666666,70.66666666666667
2026-01-01 15:00:00+00:00,-3.366666666666667,9.433333333333334,12.0
2026-01-01 16:00:00+00:00,-4.133333333333334,9.4,0.0
2026-01-01 17:00:00+00:00,-4.533333333333334,8.366666666666667,0.0
2026-01-01 18:00:00+00:00,-4.166666666666667,7.933333333333333,0.0
2026-01-01 19:00:00+00:00,-5.433333333333334,6.066666666666667,0.0
2026-01-01 20:00:00+00:00,-5.666666666666667,5.1000000000000005,0.0
2026-01-01 21:00:00+00:00,-6.0,4.166666666666667,0.0
2026-01-01 22:00:00+00:00,-6.266666666666667,3.3000000000000003,0.0
2026-01-01 23:00:00+00:00,-6.566666666666667,2.733333333333333,0.0
2026-01-02 00:00:00+00:00,-7.0,3.4,0.0
2026-01-02 01:00:00+00:00,-7.933333333333334,3.3000000000000003,0.0
2026-01-02 02:00:00+00:00,-8.133333333333335,3.0,0.0
2026-01-02 03:00:00+00:00,-8.299999999999999,2.733333333333333,0.0
2026-01-02 04:00:00+00:00,-8.466666666666667,2.9333333333333336,0.0
2026-01-02 05:00:00+00:00,-8.433333333333332,3.0666666666666664,0.0
2026-01-02 06:00:00+00:00,-7.5666666666666655,3.466666666666667,11.666666666666666
2026-01-02 07:00:00+00:00,-5.133333333333333,3.7999999999999994,107.0
2026-01-02 08:00:00+00:00,-2.566666666666667,3.466666666666667,241.33333333333334
2026-01-02 09:00:00+00:00,-0.5,4.033333333333333,350.6666666666667
2026-01-02 10:00:00+00:00,1.1333333333333333,5.066666666666666,409.3333333333333
2026-01-02 11:00:00+00:00,2.533333333333333,6.3,411.3333333333333
2026-01-02 12:00:00+00:00,2.8000000000000003,6.766666666666667,356.3333333333333
2026-01-02 13:00:00+00:00,2.9666666666666663,8.4,250.33333333333334
2026-01-02 14:00:00+00:00,1.5,6.833333333333332,108.33333333333333
2026-01-02 15:00:00+00:00,-0.7999999999999999,5.833333333333333,12.666666666666666
2026-01-02 16:00:00+00:00,-1.5,6.2,0.0
2026-01-02 17:00:00+00:00,-2.033333333333333,7.833333333333333,0.0
2026-01-02 18:00:00+00:00,-2.466666666666667,8.166666666666666,0.0
2026-01-02 19:00:00+00:00,-2.433333333333333,7.966666666666666,0.0
2026-01-02 20:00:00+00:00,-2.7999999999999994,7.233333333333334,0.0
2026-01-02 21:00:00+00:00,-3.033333333333333,6.766666666666666,0.0
2026-01-02 22:00:00+00:00,-3.033333333333333,6.433333333333334,0.0
2026-01-02 23:00:00+00:00,-3.0666666666666664,7.0,0.0
2026-01-03 00:00:00+00:00,-3.0999999999999996,7.0,0.0
2026-01-03 01:00:00+00:00,-3.3333333333333335,6.8,0.0
2026-01-03 02:00:00+00:00,-3.4,6.366666666666667,0.0
2026-01-03 03:00:00+00:00,-3.5333333333333337,4.766666666666667,0.0
2026-01-03 04:00:00+00:00,-2.6333333333333333,6.266666666666666,0.0
2026-01-03 05:00:00+00:00,-2.2333333333333334,8.299999999999999,0.0
2026-01-03 06:00:00+00:00,-0.8666666666666668,9.966666666666667,9.333333333333334
2026-01-03 07:00:00+00:00,1.9000000000000001,11.033333333333333,79.33333333333333
2026-01-03 08:00:00+00:00,4.333333333333333,10.966666666666669,167.66666666666666
2026-01-03 09:00:00+00:00,5.833333333333333,12.733333333333334,239.66666666666666
2026-01-03 10:00:00+00:00,6.900000000000001,14.066666666666668,287.3333333333333
2026-01-03 11:00:00+00:00,7.566666666666666,16.033333333333335,275.0
2026-01-03 12:00:00+00:00,7.0,15.699999999999998,113.0
2026-01-03 13:00:00+00:00,6.366666666666667,15.666666666666666,30.333333333333332
2026-01-03 14:00:00+00:00,6.033333333333334,13.433333333333332,24.0
2026-01-03 15:00:00+00:00,5.333333333333333,12.566666666666668,5.666666666666667
2026-01-03 16:00:00+00:00,4.966666666666666,13.0,0.0
2026-01-03 17:00:00+00:00,5.1000000000000005,13.433333333333332,0.0
2026-01-03 18:00:00+00:00,5.599999999999999,12.866666666666667,0.0
2026-01-03 19:00:00+00:00,5.833333333333333,12.833333333333334,0.0
2026-01-03 20:00:00+00:00,5.900000000000001,11.866666666666667,0.0
2026-01-03 21:00:00+00:00,5.8999999999999995,11.866666666666667,0.0
2026-01-03 22:00:00+00:00,6.0,11.233333333333333,0.0
2026-01-03 23:00:00+00:00,6.0,10.233333333333334,0.0
2026-01-04 00:00:00+00:00,5.766666666666667,9.700000000000001,0.0
2026-01-04 01:00:00+00:00,6.233333333333334,9.766666666666667,0.0
2026-01-04 02:00:00+00:00,6.166666666666667,9.633333333333333,0.0
2026-01-04 03:00:00+00:00,5.8,9.600000000000001,0.0
2026-01-04 04:00:00+00:00,5.5,9.933333333333334,0.0
